data_year,arrestee_id,incident_id,arrestee_seq_num,arrest_date,arrest_type_id,multiple_indicator,offense_code,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,age_range_low_num,age_range_high_num
2021,43229429,140255705,1,2021-06-05,1,N,13C,75,72,M,10,20,R,,,72,
2021,45219253,147616115,1,2021-10-14,3,N,220,61,58,M,10,20,R,,,58,
2021,44768804,145907739,1,2021-11-02,3,N,13B,21,18,M,10,20,R,,,18,
2021,45495027,148621491,1,2021-11-25,1,N,220,53,50,M,10,20,R,,,50,
2021,42754015,138525140,1,2021-01-09,1,N,90Z,41,38,M,30,20,N,,,38,
2021,42754016,138525140,2,2021-01-09,1,N,35B,31,28,F,10,20,N,,,28,
2021,42754017,138525140,3,2021-04-23,2,N,35A,32,29,M,30,20,N,,,29,
2021,41312632,133786061,1,2021-01-15,2,N,35B,46,43,F,10,20,R,,,43,00
2021,42156681,136481257,1,2021-03-20,1,N,35B,32,29,F,30,20,R,,,29,
2021,42754019,138525142,1,2021-04-12,2,N,13B,58,55,M,10,20,R,,,55,
2021,42754040,138525175,1,2021-04-10,2,N,35B,31,28,M,10,20,N,,,28,
2021,43027468,139508090,1,2021-04-29,3,N,35A,33,30,M,30,20,R,,,30,
2021,42754041,138525178,1,2021-05-15,2,N,35A,29,26,M,10,20,N,,,26,
2021,42754042,138525178,2,2021-05-15,2,N,90G,21,18,F,10,20,N,,,18,
2021,43027469,139508094,1,2021-06-26,3,N,35B,26,23,M,10,20,N,,,23,
2021,43027470,139508094,2,2021-06-26,2,N,35B,21,18,F,10,20,N,,,18,
2021,43648560,141769178,1,2021-06-27,3,N,13B,30,27,M,10,20,R,,,27,
2021,43406685,140910923,1,2021-07-10,3,N,90Z,26,23,M,10,20,N,,,23,
2021,43406686,140910923,2,2021-07-10,3,N,35B,24,21,F,30,20,N,,,21,
2021,43930674,142773536,1,2021-08-20,3,N,13B,28,25,F,10,20,R,,,25,
2021,43648562,141769183,1,2021-08-27,3,N,35B,33,30,M,30,20,R,,,30,
2021,43930858,142774200,1,2021-09-13,3,N,90Z,42,39,M,20,20,N,,,39,
2021,43930859,142774201,1,2021-09-19,3,N,90G,40,37,M,10,20,R,,,37,
2021,44345996,144291019,1,2021-10-01,3,N,11A,50,47,M,10,20,R,,,45,50
2021,45526552,148735401,1,2021-10-09,3,N,90Z,26,23,M,10,20,N,,,23,
2021,44345997,144291020,1,2021-10-30,3,N,90D,43,40,F,10,20,N,,,40,
2021,44345998,144291020,2,2021-10-30,2,N,90Z,22,19,F,10,20,N,,,19,
2021,44714198,145691604,1,2021-11-26,2,N,35A,62,59,M,10,20,N,,,59,
2021,44946966,146545846,1,2021-12-14,2,N,35B,22,19,F,30,20,R,,,19,
2021,44946967,146545846,2,2021-12-14,2,N,35B,21,18,F,30,20,R,,,18,
